text_id	entity_id	name	category	positions
15358511	T1	Attachment of Escherichia coli O157:H7 grown in tryptic soy broth and nutrient broth to apple and lettuce surfaces as related to cell hydrophobicity, surface charge, and capsule production.	Title	0 189
15358511	T2	This study investigated the effect of growth in tryptic soy broth (TSB) and nutrient broth (NB) on the ability Escherichia coli O157:H7 to attach to lettuce and apple surfaces. In addition, cell surface hydrophobicity, charge and capsule production were determined on cells grown in these media. Cells grown in NB attached less to lettuce and apple surfaces than did those grown in TSB. TSB, but not NB, supported capsule production by E. coli O157:H7. Cells grown in TSB were more hydrophilic than those grown in NB. No difference was found in the electrokinetic properties of cells grown in these media. Electrostatic and hydrophobic interactions and surface proteins did not appear to play an important role in the attachment of E. coli O157:H7 to these surfaces. Of the factors studied, only capsule production was associated with attachment ability.	Paragraph	190 1044
15358511	T3	Attachment	Phenotype	0 10
15358511	T4	Escherichia coli O157:H7	Microorganism	14 38
15358511	T5	tryptic soy broth	Habitat	48 65
15358511	T6	soy	Habitat	56 59
15358511	T7	nutrient broth	Habitat	70 84
15358511	T8	apple surfaces	Habitat	88 93;106 114
15358511	T9	apple	Habitat	88 93
15358511	T10	lettuce surfaces	Habitat	98 114
15358511	T11	lettuce	Habitat	98 105
15358511	T12	cell	Habitat	129 133
15358511	T13	capsule production	Phenotype	170 188
15358511	T14	tryptic soy broth	Habitat	238 255
15358511	T15	soy	Habitat	246 249
15358511	T16	TSB	Habitat	257 260
15358511	T17	nutrient broth	Habitat	266 280
15358511	T18	NB	Habitat	282 284
15358511	T19	ability to attach	Phenotype	293 300;326 335
15358511	T20	Escherichia coli O157:H7	Microorganism	301 325
15358511	T21	lettuce	Habitat	339 346
15358511	T22	lettuce surfaces	Habitat	339 346;357 365
15358511	T23	apple	Habitat	351 356
15358511	T24	apple surfaces	Habitat	351 365
15358511	T25	cell	Habitat	380 384
15358511	T26	capsule production	Phenotype	420 438
15358511	T27	NB	Habitat	501 503
15358511	T28	lettuce	Habitat	521 528
15358511	T29	lettuce surfaces	Habitat	521 528;539 547
15358511	T30	apple	Habitat	533 538
15358511	T31	apple surfaces	Habitat	533 547
15358511	T32	TSB	Habitat	572 575
15358511	T33	TSB	Habitat	577 580
15358511	T34	NB	Habitat	590 592
15358511	T35	capsule production	Phenotype	604 622
15358511	T36	E. coli O157:H7	Microorganism	626 641
15358511	T37	TSB	Habitat	658 661
15358511	T38	NB	Habitat	704 706
15358511	T39	attachment	Phenotype	908 918
15358511	T40	E. coli O157:H7	Microorganism	922 937
15358511	T41	capsule production	Phenotype	986 1004
15358511	T42	attachment ability	Phenotype	1025 1043
F-23224222-007	T1	Lactococcus lactis	Microorganism	68 86
F-23224222-007	T2	Lactococcus lactis subsp. lactis	Microorganism	88 120
F-23224222-007	T3	cheese	Habitat	140 146
F-23224222-007	T4	Lc. lactis subsp. cremoris	Microorganism	152 178
F-23224222-007	T5	Lc. lactis subsp. cremoris	Microorganism	331 357
F-23224222-007	T6	cheeses	Habitat	390 397
F-23224222-007	T7	LAB	Phenotype	473 476
F-23224222-007	T8	starter culture	Habitat	477 492
F-23224222-007	T9	NSLAB	Phenotype	508 513
F-23224222-007	T10	Lactobacillus paracasei	Microorganism	514 537
F-23224222-007	T11	cheeses	Habitat	569 576
F-23224222-007	T12	Lb. paracasei	Microorganism	640 653
F-23224222-007	T13	NSLAB	Phenotype	669 674
F-23224222-007	T14	Danbo cheeses	Habitat	686 699
448557	T1	The etiologic and epidemiologic spectrum of bronchiolitis in pediatric practice.	Title	0 80
448557	T2	To develop a broad understanding of the causes and patterns of occurrence of wheezing associated respiratory infections, we analyzed data from an 11-year study of acute lower respiratory illness in a pediatric practice. Although half of the WARI occurred in children less than 2 years of age, wheezing continued to be observed in 19% of children greater than 9 years of age who had lower respiratory illness. Males experienced LRI 1.25 times more often than did females; the relative risk of males for WARI was 1.35. A nonbacterial pathogen was recovered from 21% of patients with WARI; respiratory syncytial virus, parainfluenza virus types 1 and 3, adenoviruses, and Mycoplasma pneumoniae accounted for 81% of the isolates. Patient age influenced the pattern of recovery of these agents. The most common cause of WARI in children under 5 years of age was RSV whereas Mycoplasma pneumoniae was the most frequent isolate from school age children with wheezing illness. The data expand our understanding of the causes of WARI and are useful to diagnosticians and to researchers interested in the control of lower respiratory disease.	Paragraph	81 1213
