dict_type,entity_id,pred,pred_entity_name,real,real_entity_name,score,text_id
OntoBiotope,T3,['OBT:000360'],['selective broths based on hypertonic strontium chloride'],['OBT:000360'],['nutrient broth'],1.0,1016123
OntoBiotope,T4,['OBT:000360'],['selective broths based on the bi-selenite ion'],['OBT:000360'],['nutrient broth'],1.0,1016123
NCBI_Taxonomy,T5,['590'],['Salmonellae'],['590'],"['Salmonella', 'Salmonella Lignieres 1900']",1.0,1016123
OntoBiotope,T6,['OBT:001086'],['egg products'],['OBT:001086'],['egg and egg product'],1.0,1016123
OntoBiotope,T7,['OBT:001847'],['egg'],['OBT:001847'],['whole egg'],1.0,1016123
NCBI_Taxonomy,T8,['599'],['Salmonella'],['599'],['Salmonella sp.'],1.0,1016123
OntoBiotope,T9,['OBT:001847'],['egg'],['OBT:001847'],['whole egg'],1.0,1016123
OntoBiotope,T10,['OBT:001086'],['egg pulp'],['OBT:001086'],['egg and egg product'],1.0,1016123
OntoBiotope,T11,['OBT:000360'],['strontium chloride M broth'],['OBT:000360'],['nutrient broth'],1.0,1016123
OntoBiotope,T12,['OBT:000360'],['strontium selenite broth'],['OBT:000360'],['nutrient broth'],1.0,1016123
OntoBiotope,T13,['OBT:000360'],['strontium selenite A broth'],['OBT:000360'],['nutrient broth'],1.0,1016123
OntoBiotope,T14,['OBT:000360'],['bi-selenite based media'],['OBT:000360'],['nutrient broth'],1.0,1016123
NCBI_Taxonomy,T15,['590'],['salmonellae'],['590'],"['Salmonella', 'Salmonella Lignieres 1900']",1.0,1016123
OntoBiotope,T16,['OBT:001086'],['egg products'],['OBT:001086'],['egg and egg product'],1.0,1016123
OntoBiotope,T17,['OBT:001847'],['egg'],['OBT:001847'],['whole egg'],1.0,1016123
NCBI_Taxonomy,T18,['605'],['S. pullorum'],['605'],"['Salmonella pullorum', 'Salmonella enterica subsp. enterica serovar Pullorum']",1.0,1016123
OntoBiotope,T19,['OBT:000360'],['strontium chloride M broth'],['OBT:000360'],['nutrient broth'],1.0,1016123
OntoBiotope,T3,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T4,['OBT:000094'],['foods'],['OBT:000094'],['food for human'],1.0,10492485
OntoBiotope,T5,['OBT:000477'],['Ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T6,['OBT:000477'],['O3'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T7,['OBT:000094'],['food'],['OBT:000094'],['food for human'],1.0,10492485
OntoBiotope,T8,['OBT:001557'],['food industry'],['OBT:001557'],['food processing factory'],1.0,10492485
OntoBiotope,T9,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T10,['OBT:000094'],['food products'],['OBT:000094'],['food for human'],1.0,10492485
OntoBiotope,T11,['OBT:000477'],['Ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T12,['OBT:000477'],['Ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T13,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T14,['OBT:000372'],['parasites'],['OBT:000372'],['parasite'],1.0,10492485
OntoBiotope,T15,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T16,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T17,['OBT:000477'],['additives'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T18,['OBT:000477'],['acids'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T19,['OBT:000477'],['surfactants'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T20,['OBT:001340'],['sugars'],['OBT:001340'],['sugar'],1.0,10492485
OntoBiotope,T21,['OBT:001340'],['sugars'],['OBT:001340'],['sugar'],1.0,10492485
OntoBiotope,T22,['OBT:000477'],['Ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T23,['OBT:001557'],['food industry'],['OBT:001557'],['food processing factory'],1.0,10492485
OntoBiotope,T24,['OBT:001557'],['food industry'],['OBT:001557'],['food processing factory'],1.0,10492485
OntoBiotope,T25,['OBT:000094'],['food'],['OBT:000094'],['food for human'],1.0,10492485
OntoBiotope,T26,['OBT:000902'],['product surface'],['OBT:000902'],['surface of food'],1.0,10492485
OntoBiotope,T27,['OBT:000468'],['water'],['OBT:000468'],['water'],1.0,10492485
OntoBiotope,T28,['OBT:000477'],['Ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T29,['OBT:000113'],['contaminant microflora'],['OBT:000113'],['microflora'],1.0,10492485
OntoBiotope,T30,['OBT:001200'],['meat'],['OBT:001200'],['meat and meat product'],1.0,10492485
OntoBiotope,T31,['OBT:002199'],['poultry'],['OBT:002199'],['poultry meat'],1.0,10492485
OntoBiotope,T32,['OBT:001847'],['eggs'],['OBT:001847'],['whole egg'],1.0,10492485
OntoBiotope,T33,['OBT:001549'],['fish'],['OBT:001549'],['fish meat and fish meat product'],1.0,10492485
OntoBiotope,T34,['OBT:001122'],['fruits'],['OBT:001122'],['fruit and primary derivative thereof'],1.0,10492485
OntoBiotope,T35,['OBT:001126'],['vegetables'],['OBT:001126'],['garden vegetable and primary derivative thereof'],1.0,10492485
OntoBiotope,T36,['OBT:001526'],['dry foods'],['OBT:001526'],['dried food'],1.0,10492485
OntoBiotope,T37,['OBT:000034'],['agricultural products'],['OBT:000034'],['agricultural product'],1.0,10492485
OntoBiotope,T38,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T39,['OBT:000902'],['food surface'],['OBT:000902'],['surface of food'],1.0,10492485
OntoBiotope,T40,['OBT:000094'],['food'],['OBT:000094'],['food for human'],1.0,10492485
OntoBiotope,T41,['OBT:000477'],['ozone'],['OBT:000477'],['additive'],1.0,10492485
OntoBiotope,T42,['OBT:000094'],['food'],['OBT:000094'],['food for human'],1.0,10492485
