category,word,dic,obt
Habitat,selective broths based on hypertonic strontium chloride,OntoBiotope,000360
Habitat,selective broths based on the bi-selenite ion,OntoBiotope,000360
Microorganism,Salmonellae,NCBI_Taxonomy,590
Habitat,egg products,OntoBiotope,001086
Habitat,egg,OntoBiotope,001847
Microorganism,Salmonella,NCBI_Taxonomy,599
Habitat,egg,OntoBiotope,001847
Habitat,egg pulp,OntoBiotope,001086
Habitat,strontium chloride M broth,OntoBiotope,000360
Habitat,strontium selenite broth,OntoBiotope,000360
Habitat,strontium selenite A broth,OntoBiotope,000360
Habitat,bi-selenite based media,OntoBiotope,000360
Microorganism,salmonellae,NCBI_Taxonomy,590
Habitat,egg products,OntoBiotope,001086
Habitat,egg,OntoBiotope,001847
Microorganism,S. pullorum,NCBI_Taxonomy,605
Habitat,strontium chloride M broth,OntoBiotope,000360
Habitat,ozone,OntoBiotope,000477
Habitat,foods,OntoBiotope,000094
Habitat,Ozone,OntoBiotope,000477
Habitat,O3,OntoBiotope,000477
Habitat,food,OntoBiotope,000094
Habitat,food industry,OntoBiotope,001557
Habitat,ozone,OntoBiotope,000477
Habitat,food products,OntoBiotope,000094
Habitat,Ozone,OntoBiotope,000477
Habitat,Ozone,OntoBiotope,000477
Habitat,ozone,OntoBiotope,000477
Phenotype,parasites,OntoBiotope,000372
Habitat,ozone,OntoBiotope,000477
Habitat,ozone,OntoBiotope,000477
Habitat,additives,OntoBiotope,000477
Habitat,acids,OntoBiotope,000477
Habitat,surfactants,OntoBiotope,000477
Habitat,sugars,OntoBiotope,001340
Habitat,sugars,OntoBiotope,001340
Habitat,Ozone,OntoBiotope,000477
Habitat,food industry,OntoBiotope,001557
Habitat,food industry,OntoBiotope,001557
Habitat,food,OntoBiotope,000094
Habitat,product surface,OntoBiotope,000902
Habitat,water,OntoBiotope,000468
Habitat,Ozone,OntoBiotope,000477
Habitat,contaminant microflora,OntoBiotope,000113
Habitat,meat,OntoBiotope,001200
Habitat,poultry,OntoBiotope,002199
Habitat,eggs,OntoBiotope,001847
Habitat,fish,OntoBiotope,001549
Habitat,fruits,OntoBiotope,001122
Habitat,vegetables,OntoBiotope,001126
Habitat,dry foods,OntoBiotope,001526
Habitat,agricultural products,OntoBiotope,000034
Habitat,ozone,OntoBiotope,000477
Habitat,food surface,OntoBiotope,000902
Habitat,food,OntoBiotope,000094
Habitat,ozone,OntoBiotope,000477
Habitat,food,OntoBiotope,000094
Phenotype,glycoprotein-binding activity,OntoBiotope,000019
Microorganism,Streptococcus pyogenes,NCBI_Taxonomy,1314
Microorganism,Streptococcus pyogenes,NCBI_Taxonomy,1314
Habitat,host cell,OntoBiotope,000061
Phenotype,adhesion mechanisms,OntoBiotope,000029
Habitat,host cell,OntoBiotope,000061
Habitat,vaccines,OntoBiotope,000464
Phenotype,glycoprotein-binding activities,OntoBiotope,000019
Microorganism,streptococcal,NCBI_Taxonomy,1314
Phenotype,activity binding to fetuin,OntoBiotope,000019
Phenotype,activity binding to asialofetuin,OntoBiotope,000019
Phenotype,activity binding to thyroglobulin,OntoBiotope,000019
Phenotype,activity binding to mucin,OntoBiotope,000019
Microorganism,S. pyogenes,NCBI_Taxonomy,1314
Phenotype,glycoprotein-binding activity,OntoBiotope,000019
Phenotype,adherence,OntoBiotope,000029
Microorganism,S. pyogenes,NCBI_Taxonomy,1314
Phenotype,virulence,OntoBiotope,000375
Paragraph,Prospective screening culture surveillance for MRSA among patients in a community SNF.,,
Paragraph,"Nares and stool swab cultures were obtained from newly admitted patients and from all patients quarterly. MRSA were isolated by oxacillin screening agar. Antibiograms were determined by the disk-diffusion method, and genotyping was by FIGE REA.",,
Paragraph,"It was shown that, among isolates with the same genotypes, many had different antibiograms; among isolates with the same antibiograms, many had different genotypes; and the discriminatory indices for isolates of MRSA by FIGE REA and by antibiogram were 0.56 and 0.78, respectively.",,
Paragraph,"Our study demonstrated that, in patients from one SNF, genotyping by FIGE REA identified two prevalent REA DNA types, but with variability of antibiogram patterns within each DNA type; the antibiogram also identified prevalent patterns with variability of REA DNA type within each antibiogram pattern. The discriminatory index of antibiograms alone, or of genotypes alone as determined by FIGE REA, was poor for strains of MRSA isolated from the SNF patients in our study.",,
Phenotype,methicillin-resistant,OntoBiotope,002817
Microorganism,Staphylococcus aureus,NCBI_Taxonomy,1280
Habitat,patients,OntoBiotope,003285
Habitat,nursing home,OntoBiotope,001231
Phenotype,methicillin-resistant,OntoBiotope,002817
Microorganism,Staphylococcus aureus,NCBI_Taxonomy,1280
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,skilled nursing facility,OntoBiotope,001231
Habitat,skilled nursing facility,OntoBiotope,002518
Habitat,SNF,OntoBiotope,002518
Habitat,SNF,OntoBiotope,001231
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,SNF patients,OntoBiotope,003220
Habitat,SNF,OntoBiotope,002518
Habitat,SNF,OntoBiotope,001231
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,patients,OntoBiotope,003220
Habitat,community SNF,OntoBiotope,001231
Habitat,community SNF,OntoBiotope,002518
Habitat,Nares swab cultures,OntoBiotope,001228
Habitat,Nares swab cultures,OntoBiotope,000007
Habitat,Nares,OntoBiotope,000754
Habitat,stool swab cultures,OntoBiotope,001737
Habitat,stool swab cultures,OntoBiotope,000007
Habitat,stool,OntoBiotope,001102
Habitat,patients,OntoBiotope,003220
Habitat,patients,OntoBiotope,003220
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,oxacillin screening agar,OntoBiotope,000031
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,patients from one SNF,OntoBiotope,003220
Habitat,SNF,OntoBiotope,002518
Habitat,SNF,OntoBiotope,001231
Microorganism,MRSA,NCBI_Taxonomy,1280
Phenotype,MRSA,OntoBiotope,002817
Habitat,SNF,OntoBiotope,001231
Habitat,SNF,OntoBiotope,002518
Habitat,SNF patients,OntoBiotope,003220
Microorganism,Salmonella typhimurium,NCBI_Taxonomy,90371
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Microorganism,Ralstonia eutropha H850,NCBI_Taxonomy,53482
Microorganism,Ralstonia eutropha H850,NCBI_Taxonomy,53482
Microorganism,R. eutropha H850,NCBI_Taxonomy,53482
Habitat,fructose,OntoBiotope,000007
Habitat,biphenyl,OntoBiotope,000007
Habitat,fructose,OntoBiotope,000007
Habitat,biphenyl,OntoBiotope,000007
Habitat,biphenyl,OntoBiotope,000007
Habitat,fructose medium,OntoBiotope,000007
Habitat,fructose,OntoBiotope,000007
Habitat,Chondrus crispus,OntoBiotope,002758
Microorganism,Pichia pastoris,NCBI_Taxonomy,4922
Habitat,red alga Chondrus crispus,OntoBiotope,002758
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Phenotype,HOX activity,OntoBiotope,000371
Phenotype,methylotrophic,OntoBiotope,000734
Microorganism,Pichia pastoris,NCBI_Taxonomy,4922
Phenotype,hexose oxidase production,OntoBiotope,000371
Microorganism,P. pastoris,NCBI_Taxonomy,4922
Microorganism,Saccharomyces cerevisiae,NCBI_Taxonomy,4932
Phenotype,alpha-mating,OntoBiotope,000173
Microorganism,P. pastoris,NCBI_Taxonomy,4922
Phenotype,thermotolerance,OntoBiotope,002290
Phenotype,nitrogen-fixing,OntoBiotope,000019
Microorganism,cyanobacterium,NCBI_Taxonomy,1117
Microorganism,Anabaena sp. strain L-31,NCBI_Taxonomy,29412
Microorganism,Escherichia coli,NCBI_Taxonomy,562
Phenotype,nitrogen-fixing,OntoBiotope,000019
Habitat,soil,OntoBiotope,000427
Microorganism,cyanobacterium,NCBI_Taxonomy,1117
Microorganism,Anabaena sp. strain L-31,NCBI_Taxonomy,29412
Phenotype,abilities to survive prolonged and continuous heat stress,OntoBiotope,002480
Microorganism,Anabaena sp. strain L-31,NCBI_Taxonomy,29412
